"is_legendary","ndex","species","forme","gender","type1","type2","ability","weight_kg","height_m","nature","hp","attack","defense","spattack","spdefense","speed","Move.1","Move.2","Move.3","Move.4"
0,667,"Litleo","Litleo",1,"Fire","Normal","Rivalry",13.54,0.72,"Sassy",256,129,141,170,128,152,"Crunch","Hyper Voice","Incinerate","Overheat"
0,54,"Psyduck","Psyduck",1,"Water",NA,"Cloud Nine",19.04,1.03,"Adamant",212,133,108,132,121,141,"Psych Up","Amnesia","Hydro Pump","Wonder Room"
0,201,"Unown","Unown (One form)",NA,"Psychic",NA,"Levitate",4.73,0.61,"Quirky",216,173,123,171,109,120,"Hidden Power",NA,NA,NA
0,26,"Raichu","Raichu (Alola Form)",1,"Electric","Psychic","Surge Surfer",22.05,0.59,"Quiet",254,206,114,248,177,226,"Speed Swap","Quick Attack","Thunder Shock","Thunderbolt"
0,344,"Claydol","Claydol",NA,"Ground","Psychic","Levitate",108.05,1.5,"Quiet",261,172,222,185,272,159,"Earth Power","Sandstorm","Imprison","Explosion"
0,364,"Sealeo","Sealeo",0,"Ice","Water","Oblivious",88.12,0.96,"Bashful",295,126,147,167,150,99,"Snore","Hail","Blizzard","Sheer Cold"
0,302,"Sableye","Sableye",0,"Dark","Ghost","Stall",8.65,0.07,"Impish",241,167,194,141,150,120,"Shadow Ball","Foul Play","Quash","Mean Look"
0,254,"Sceptile","Sceptile",1,"Grass",NA,"Unburden",55.97,1.05,"Bold",256,182,180,236,185,246,"False Swipe","Quick Guard","Leaf Storm","Screech"
0,260,"Swampert","Swampert (Mega Swampert)",1,"Water","Ground","Swift Swim",105.46,2.24,"Naive",341,314,244,207,220,177,"Take Down","Earthquake","Endeavor","Hammer Arm"
0,542,"Leavanny","Leavanny",1,"Bug","Grass","Swarm",21.71,0.48,"Sassy",275,237,185,175,188,172,"X-Scissor","Entrainment","Swords Dance","Leaf Storm"
0,354,"Banette","Banette (Mega Banette)",1,"Ghost",NA,"Prankster",14.18,1.3,"Lax",240,340,181,220,175,186,"Snatch","Grudge","Trick","Phantom Force"
0,771,"Pyukumuku","Pyukumuku",1,"Water",NA,"Innards Out",1.58,0.37,"Quiet",236,135,295,82,290,17,"Recover","Soak","Toxic","Memento"
0,554,"Darumaka","Darumaka",0,"Fire",NA,"Inner Focus",40.13,0.59,"Quirky",274,202,111,35,100,128,"Flare Blitz","Taunt","Superpower","Overheat"
0,590,"Foongus","Foongus",0,"Grass","Poison","Effect Spore",0.91,0.1,"Lax",274,116,134,146,124,60,"Clear Smog","Solar Beam","Rage Powder","Spore"
0,367,"Huntail","Huntail",1,"Water",NA,"Swift Swim",26.13,1.54,"Naive",236,244,218,195,153,151,"Crunch","Aqua Tail","Coil","Hydro Pump"
0,773,"Silvally","Silvally (Type: Rock)",NA,"Rock",NA,"RKS System",102.31,2.55,"Careful",313,215,196,188,233,224,"Razor Wind","Tri Attack","Double-Edge","Parting Shot"
0,65,"Alakazam","Alakazam",0,"Psychic",NA,"Magic Guard",46.15,1.85,"Serious",240,133,119,297,211,248,"Psychic","Calm Mind","Future Sight","Trick"
1,718,"Zygarde","Zygarde (10% Forme)",NA,"Dragon","Ground","Power Construct",35.14,0.85,"Bold",249,199,184,158,206,237,"Camouflage","Dragon Pulse","Coil","Outrage"
1,646,"Kyurem","Kyurem (White Kyurem)",NA,"Dragon","Ice","Turboblaze",331.48,4.57,"Lonely",369,294,194,376,236,225,"Endeavor","Blizzard","Outrage","Hyper Voice"
0,774,"Minior","Minior (Meteor Form)",NA,"Rock","Flying","Shields Down",40.73,0.26,"Docile",249,131,205,146,231,140,"Power Gem","Double-Edge","Shell Smash","Explosion"
1,717,"Yveltal","Yveltal",NA,"Dark","Flying","Dark Aura",202.89,7.21,"Docile",376,298,226,298,209,209,"Focus Blast","Sucker Punch","Hyper Beam","Sky Attack"
0,387,"Turtwig","Turtwig",0,"Grass",NA,"Overgrow",10.7,0.24,"Serious",241,142,159,121,144,74,"Synthesis","Crunch","Giga Drain","Leaf Storm"
0,127,"Pinsir","Pinsir (Mega Pinsir)",0,"Bug",NA,"Aerilate",55.72,0.92,"Careful",244,319,252,130,214,225,"Swords Dance","Thrash","Superpower","Guillotine"
