"is_legendary","ndex","species","forme","gender","type1","type2","ability","weight_kg","height_m","nature","hp","attack","defense","spattack","spdefense","speed","Move.1","Move.2","Move.3","Move.4"
0,181,"Ampharos","Ampharos (Mega Ampharos)",1,"Electric",NA,"Mold Breaker",60.59,1.33,"Timid",321,180,245,353,244,114,"Signal Beam","Light Screen","Thunder","Dragon Pulse"
0,430,"Honchkrow","Honchkrow",1,"Dark","Flying","Super Luck",26.09,0.79,"Impish",323,268,124,221,125,178,"Foul Play","Night Slash","Quash","Dark Pulse"
0,684,"Swirlix","Swirlix",1,"Fairy",NA,"Sweet Veil",3.81,0.22,"Serious",261,123,147,124,142,105,"Wish","Play Rough","Light Screen","Safeguard"
0,248,"Tyranitar","Tyranitar",1,"Rock","Dark","Sand Stream",200.15,2.45,"Bashful",338,276,226,211,208,140,"Earthquake","Stone Edge","Hyper Beam","Giga Impact"
0,299,"Nosepass","Nosepass",0,"Rock",NA,"Magnet Pull",93.65,0.55,"Bashful",173,120,279,122,201,87,"Earth Power","Stone Edge","Lock-On","Zap Cannon"
0,371,"Bagon","Bagon",0,"Dragon",NA,"Sheer Force",42.29,0.92,"Naive",214,164,126,115,77,139,"Zen Headbutt","Scary Face","Flamethrower","Double-Edge"
0,44,"Gloom","Gloom",1,"Grass","Poison","Chlorophyll",8.08,0.41,"Quiet",253,165,172,217,159,81,"Natural Gift","Petal Blizzard","Grassy Terrain","Petal Dance"
0,637,"Volcarona","Volcarona",0,"Bug","Fire","Flame Body",44,0.72,"Calm",300,120,160,299,240,228,"Bug Buzz","Rage Powder","Hurricane","Fiery Dance"
0,9,"Blastoise","Blastoise",1,"Water",NA,"Torrent",88.49,0.64,"Docile",290,171,213,180,216,182,"Skull Bash","Iron Defense","Rain Dance","Hydro Pump"
0,346,"Cradily","Cradily",1,"Rock","Grass","Storm Drain",54.88,1.06,"Rash",307,197,211,190,209,95,"Stockpile","Spit Up","Swallow","Wring Out"
0,701,"Hawlucha","Hawlucha",0,"Fighting","Flying","Mold Breaker",22.88,0.94,"Bold",289,187,187,164,144,245,"High Jump Kick","Sky Attack","Sky Drop","Swords Dance"
0,465,"Tangrowth","Tangrowth",0,"Grass",NA,"Chlorophyll",133.12,1.19,"Naughty",325,248,277,229,98,117,"Wring Out","Grassy Terrain","Power Whip","Block"
0,54,"Psyduck","Psyduck",1,"Water",NA,"Cloud Nine",19.15,0.22,"Relaxed",241,125,133,136,127,108,"Psych Up","Amnesia","Hydro Pump","Wonder Room"
0,666,"Vivillon","Vivillon (Elegant Pattern)",0,"Bug","Flying","Friend Guard",17.11,1.16,"Relaxed",295,121,133,209,125,189,"Safeguard","Quiver Dance","Hurricane","Powder"
0,201,"Unown","Unown (One form)",NA,"Psychic",NA,"Levitate",5.68,0.2,"Brave",233,173,106,179,105,108,"Hidden Power",NA,NA,NA
0,283,"Surskit","Surskit",0,"Bug","Water","Swift Swim",2.09,0.41,"Lonely",202,104,68,115,120,158,"Haze","Aqua Jet","Baton Pass","Sticky Web"
0,70,"Weepinbell","Weepinbell",0,"Grass","Poison","Gluttony",5.58,0.9,"Relaxed",258,216,140,184,123,126,"Razor Leaf","Poison Jab","Slam","Wring Out"
0,12,"Butterfree","Butterfree",1,"Bug","Flying","Tinted Lens",32.76,0.97,"Lonely",235,118,108,193,181,155,"Captivate","Tailwind","Air Slash","Quiver Dance"
0,671,"Florges","Florges (White Flower)",0,"Fairy",NA,"Symbiosis",9.74,1.6,"Lax",294,144,179,250,309,181,"Moonblast","Petal Dance","Disarming Voice","Magical Leaf"
0,531,"Audino","Audino (Mega Audino)",1,"Normal","Fairy","Healer",30.08,1.44,"Naive",317,153,259,195,245,121,"Simple Beam","Double-Edge","Hyper Voice","Last Resort"
0,318,"Carvanha","Carvanha",0,"Water","Dark","Rough Skin",20.87,0.99,"Quirky",207,198,74,151,73,163,"Poison Fang","Crunch","Agility","Take Down"
0,683,"Aromatisse","Aromatisse",0,"Fairy",NA,"Aroma Veil",12.76,0.89,"Modest",325,151,159,237,203,87,"Psychic","Disarming Voice","Reflect","Psych Up"
0,449,"Hippopotas","Hippopotas",0,"Ground",NA,"Sand Stream",50.5,0.58,"Modest",277,158,186,118,114,99,"Crunch","Earthquake","Double-Edge","Fissure"
0,301,"Delcatty","Delcatty",1,"Normal",NA,"Cute Charm",36.31,0.95,"Hasty",280,163,136,131,142,223,"Attract","Fake Out","Double Slap","Sing"
0,71,"Victreebel","Victreebel",0,"Grass","Poison","Gluttony",15.71,1.16,"Timid",301,194,165,227,165,191,"Leaf Storm","Leaf Blade","Razor Leaf","Sleep Powder"
0,75,"Graveler","Graveler (Alola Form)",1,"Rock","Electric","Galvanize",110.76,1.52,"Naughty",237,244,259,125,113,86,"Discharge","Explosion","Double-Edge","Stone Edge"
1,151,"Mew","Mew",NA,"Psychic",NA,"Synchronize",4.01,0.44,"Hardy",341,209,236,213,236,219,"Me First","Baton Pass","Nasty Plot","Aura Sphere"
0,23,"Ekans","Ekans",1,"Poison",NA,"Shed Skin",6.88,1.67,"Hasty",200,150,102,112,117,133,"Belch","Haze","Coil","Gunk Shot"
0,715,"Noivern","Noivern",1,"Flying","Dragon","Telepathy",81.29,1.87,"Naive",286,174,186,215,153,279,"Air Slash","Hurricane","Dragon Pulse","Boomburst"
0,294,"Loudred","Loudred",0,"Normal",NA,"Scrappy",37.42,0.66,"Jolly",296,151,114,154,117,130,"Rest","Sleep Talk","Hyper Voice","Synchronoise"
0,248,"Tyranitar","Tyranitar",0,"Rock","Dark","Unnerve",201.05,2.74,"Modest",326,245,243,236,224,153,"Earthquake","Stone Edge","Hyper Beam","Giga Impact"
0,612,"Haxorus","Haxorus",1,"Dragon",NA,"Mold Breaker",105.27,1.95,"Hardy",279,327,198,135,165,222,"Swords Dance","Guillotine","Outrage","Giga Impact"
0,142,"Aerodactyl","Aerodactyl (Mega Aerodactyl)",1,"Rock","Flying","Tough Claws",79.57,2.36,"Hasty",299,281,158,152,196,366,"Iron Head","Hyper Beam","Rock Slide","Giga Impact"
0,676,"Furfrou","Furfrou (La Reine Trim)",0,"Normal",NA,"Fur Coat",27.38,1.51,"Hasty",269,175,136,141,199,259,"Take Down","Charm","Sucker Punch","Cotton Guard"
0,208,"Steelix","Steelix",0,"Steel","Ground","Sturdy",400.77,8.83,"Rash",272,205,429,141,141,76,"Dig","Stone Edge","Double-Edge","Sandstorm"
1,492,"Shaymin","Shaymin (Land Forme)",NA,"Grass",NA,"Natural Cure",1.87,0.4,"Timid",315,192,227,236,236,259,"Energy Ball","Sweet Kiss","Healing Wish","Seed Flare"
1,794,"Buzzwole","Buzzwole",NA,"Bug","Fighting","Beast Boost",331.5,2.17,"Careful",327,314,289,127,156,192,"Lunge","Dynamic Punch","Superpower","Focus Punch"
0,504,"Patrat","Patrat",1,"Normal",NA,"Analytic",11.85,0.32,"Mild",210,121,92,106,107,119,"Nasty Plot","Mean Look","Baton Pass","Slam"
0,37,"Vulpix","Vulpix (Alola Form)",0,"Ice",NA,"Snow Warning",10.11,0.98,"Impish",188,88,115,102,141,151,"Blizzard","Grudge","Captivate","Sheer Cold"
0,50,"Diglett","Diglett",1,"Ground",NA,"Sand Veil",1.11,0.06,"Calm",144,124,80,82,130,197,"Dig","Slash","Earthquake","Fissure"
0,773,"Silvally","Silvally (Type: Psychic)",NA,"Psychic",NA,"RKS System",104.83,2.03,"Modest",315,198,201,237,211,199,"Razor Wind","Tri Attack","Double-Edge","Parting Shot"
0,593,"Jellicent","Jellicent",0,"Water","Ghost","Water Absorb",130.66,2.43,"Gentle",337,139,131,183,253,139,"Hex","Hydro Pump","Wring Out","Water Spout"
0,409,"Rampardos","Rampardos",0,"Rock",NA,"Sturdy",102.91,0.86,"Quirky",324,349,126,148,107,134,"Ancient Power","Zen Headbutt","Screech","Head Smash"
0,264,"Linoone","Linoone",1,"Normal",NA,"Pickup",34.48,0.32,"Relaxed",273,160,167,126,130,189,"Double-Edge","Rest","Belly Drum","Fling"
0,576,"Gothitelle","Gothitelle",0,"Psychic",NA,"Frisk",41.13,1.98,"Modest",263,122,210,235,248,149,"Psychic","Telekinesis","Charm","Magic Room"
0,770,"Palossand","Palossand",0,"Ghost","Ground","Water Compaction",244.77,1.27,"Sassy",304,163,228,223,199,91,"Shadow Ball","Earth Power","Shore Up","Sandstorm"
